"","AIV-SubMec1","AIV-SubMec2","AIV-SubMec3","AIV-SubMec4","AIV-SubMec5","AIV-SubMec6","AIV-SubMec7","AIV-SubMec8","AIV-SubMec9","AIV-SubMec10","AIV-SubMec11","AIV-SubMec12","AIV-SubMec13","AIV-SubMec14","AIV-SubMec15","AIV-SubMec16","AIV-SubMec17","AIV-SubMec18","AIV-SubMec19","AIV-SubMec20","AIV-SubMec21","AIV-SubMec22","AIV-SubMec23","AIV-SubMec24","AIV-SubMec25","AIV-SubMec26","AIV-SubMec27","AIV-SubMec28","AIV-SubMec29","AIV-SubMec30","AIV-SubMec31","AIV-SubMec32","AIV-SubMec33","AIV-SubMec34","AIV-SubMec35","AIV-SubMec36","AIV-SubMec37","AIV-SubMec38","AIV-SubMec39","AIV-SubMec40","AIV-SubMec41","AIV-SubMec42","AIV-SubMec43","AIV-SubMec44","AIV-SubMec45","AIV-SubMec46","AIV-SubMec47","AIV-SubMec48","AIV-SubMec49","AIV-SubMec50","AIV-SubMec51","AIV-SubMec52","AIV-SubMec53","AIV-SubMec54","AIV-SubMec55","AIV-SubMec56","AIV-SubMec57","AIV-SubMec58","AIV-SubMec59","AIV-SubMec60","AIV-SubMec61","AIV-SubMec62","AIV-SubMec63","AIV-SubMec64","AIV-SubMec65","AIV-SubMec66","AIV-SubMec67","AIV-SubMec68","AIV-SubMec69","AIV-SubMec70","AIV-SubMec71","AIV-SubMec72","AIV-SubMec73","AIV-SubMec74","AIV-SubMec75","AIV-SubMec76","AIV-SubMec77","AIV-SubMec78","AIV-SubMec79","AIV-SubMec80","AIV-SubMec81","AIV-SubMec82","AIV-SubMec83","AIV-SubMec84","AIV-SubMec85","AIV-SubMec86","AIV-SubMec87","AIV-SubMec88","AIV-SubMec89","AIV-SubMec90","AIV-SubMec91","AIV-SubMec92","AIV-SubMec93","AIV-SubMec94","AIV-SubMec95","AIV-SubMec96","AIV-SubMec97","AIV-SubMec98","AIV-SubMec99","AIV-SubMec100","AIV-SubMec101","AIV-SubMec102","AIV-SubMec103","AIV-SubMec104","AIV-SubMec105","AIV-SubMec106","AIV-SubMec107","AIV-SubMec108","AIV-SubMec109","AIV-SubMec110","AIV-SubMec111","AIV-SubMec112","AIV-SubMec113","AIV-SubMec114","AIV-SubMec115","AIV-SubMec116","AIV-SubMec117","AIV-SubMec118","AIV-SubMec119","AIV-SubMec120","AIV-SubMec121","AIV-SubMec122","AIV-SubMec123","AIV-SubMec124","AIV-SubMec125","AIV-SubMec126","AIV-SubMec127","AIV-SubMec128","AIV-SubMec129","AIV-SubMec130","AIV-SubMec131","AIV-SubMec132","AIV-SubMec133","AIV-SubMec134","AIV-SubMec135","AIV-SubMec136","AIV-SubMec137","AIV-SubMec138","AIV-SubMec139","AIV-SubMec140","AIV-SubMec141","AIV-SubMec142","AIV-SubMec143","AIV-SubMec144","AIV-SubMec145","AIV-SubMec146","AIV-SubMec147","AIV-SubMec148","AIV-SubMec149","AIV-SubMec150","AIV-SubMec151","AIV-SubMec152","AIV-SubMec153","AIV-SubMec154","AIV-SubMec155","AIV-SubMec156","AIV-SubMec157","AIV-SubMec158","AIV-SubMec159","AIV-SubMec160","AIV-SubMec161"
"AIV-Rep1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323568883506072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.949955445267876,0.89257537296474,0.876000250236654,0.859859722983439,0.84684014547885,0.846561736532651,0.752124200204017,0.614949597691216,0.692032243588529,0.609294102277365,0.648311009682823,0.543008389194169,0.415875577593049,0.342334758340076,0.318944735888768,0.294707076228674,0.254659239089859,0.199278807646956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIV-Rep2",0.84428090742453,0,0.961640929432123,0.856771338996849,0.809272399083978,0.780104799099458,0.777588149742103,0.758467712954374,0.737777040431078,0.725475422480951,0.711025316606267,0.697664030368334,0.662735227512038,0.647315629864317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.94955233412673,0.714380067245796,0.714380067245796,0.703514278883584,0,0,0,0,0,0.655073783907082,0.646435770112462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIV-Rep3",0.515702626403854,0.640754870727916,0,0.560857017426908,0,0.502844656847438,0,0,0,0,0,0,0,0,0,0.777374984211579,0.763543724278031,0.702820360221599,0.681716010599293,0.634646670485125,0.590149582133121,0.589969550275596,0.571095424778699,0.509969072237289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699192970468635,0,0,0,0,0,0,0,0,0.893581820422498,0.629172309565327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959536579140338,1,0.694730877590617,0.537449202947874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIV-Rep4",0,0,0,1,0,0.504959386971528,0,0,0,0,0,0,0,0,0,0,0,0.701969198740009,0,0,0,0,0,0,0.604992642027024,0.55421186686264,0.549065723380101,0.509581677991531,0.501614657807994,0.471775009697145,0.415477380723314,0.407409535379624,0.40535699239194,0.392661753685858,0.392661753685858,0.387122550179471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471775009697145,0,0,0,0,0,0,0,0,0,0.601501885261615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410050285021517,0,0,0,0.474208970744355,0.391678834136323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIV-Rep5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363577316282871,0,0,0,0,0,0,0.40409429169063,0,0,0,0,0,0,0,0,0,0,0,0,1,0.899389562337719,0.624047854884471,0.566081039183191,0.450896579253648,0.439785761446233,0.429798648524592,0.428295753412182,0.404506602851922,0.378217266476939,0.37177589873303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562993283801752,0.558980052066842,0.516445629775082,0.515569677852342,0.455525949323557,0.430127058550461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384980974691551,0,0,0,0,0,0,0,0
"AIV-Rep6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.842398345839392,0.841233640536851,0.814652055053182,0.808526589898445,0.590293236752553,0.583145277317431,0.569387548489802,0.568108465741988,0.562342610400584,0.55332148835265,0.55332148835265,0.55332148835265,0.545314399177729,0.539774700926361,0.539558786592618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801008629447954,0.860429308058763,0,0.638443172297412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654253608864467,0,0,0,0,0,0,0
"AIV-Rep7",0,0,0.584087276140113,0,0,0,0,0,0,0,0,0,0,0,0,0.463034878950518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988076213618731,0.919230726312976,0.849243922645186,0.63391987161347,0.618501183367293,0.513614016682247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483498291674629,0,0,0,0,0,0.482300759962768,0,0,1,0,0,0,0,0,0,0,0.9402996603857,0,0,0.676803678848301,0.605408877702561,0.565967657475611,0.550285002373973,0.548422818646889,0.52805014264444,0.450637805968779,0,0,0,0,0,0,0,0,0,0.635405014405183,0,0,0,0,0,0
"AIV-Rep8",0,0,0.490704055602976,0,0,0,0,0,0,0,0,0,0,0,0,0.530468568978576,0,0.50985240375449,0,0,0,0.56028564027545,0,0,0,0.769083828427619,0,0,0,0,0,0,0,0,0,0.549425830284043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.911367923419793,0.898430695289215,0.838408849500872,0.738593699706117,0.565449903185855,0.488289178306358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650161190314736,0,0,0,0,0,0,0,0,0,0.618593685882361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560433421546621,0,0,0,0,0,0,0,0.640010539019094,0.5028881282751,0.473768811075083,0.455031719672088,0,0,0,0,0,0,0,0,0,0,0,0
"AIV-Rep9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511599704424639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.619718908589311,0.492225830301922,0,0,0,0,0.584288738970412,0.495062870833609,0.461953011323159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980288883009702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479142626483449,0,0.476550480822383,0.517858225608627,0.497158375761866,0.577232765176017,0,0,0,0,0,0,0,0,0,0,0.551684041815476,0,0,0,0,0,0,0,0.559835753092791,0,0.756086758542488,0.884128660217703,0.506535501999739,0.487981500638104,0,0,0,0,0.613188299152197,0,0,0,0,0
"AIV-Rep10",0.899944671099636,0,0,0.578711092408434,0,1,0,0,0,0,0,0,0,0,0,0.709991198597233,0,0.696010166547643,0.494184937524483,0,0,0,0,0,0,0.615040200805357,0,0,0,0,0,0,0.44804503460305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555610593502511,0,0,0,0,0,0,0,0,0,0,0,0.814693669436605,0.755334918786214,0.755334918786214,0.665593442677743,0.746684256158286,0.742984532368222,0.72370188895208,0.634061673150996,0,0.508301164386491,0.864357935918713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970076812285901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
